Total number of lines: 37
Total number of words: 187
Word count per line (line_number >> word_count):
Line 1 >> 5 words
Line 2 >> 5 words
Line 3 >> 7 words
Line 4 >> 5 words
Line 5 >> 5 words
Line 6 >> 5 words
Line 7 >> 5 words
Line 8 >> 5 words
Line 9 >> 5 words
Line 10 >> 5 words
Line 11 >> 5 words
Line 12 >> 5 words
Line 13 >> 5 words
Line 14 >> 5 words
Line 15 >> 5 words
Line 16 >> 5 words
Line 17 >> 5 words
Line 18 >> 5 words
Line 19 >> 5 words
Line 20 >> 5 words
Line 21 >> 5 words
Line 22 >> 5 words
Line 23 >> 5 words
Line 24 >> 5 words
Line 25 >> 5 words
Line 26 >> 5 words
Line 27 >> 5 words
Line 28 >> 5 words
Line 29 >> 5 words
Line 30 >> 5 words
Line 31 >> 5 words
Line 32 >> 5 words
Line 33 >> 5 words
Line 34 >> 5 words
Line 35 >> 5 words
Line 36 >> 5 words
Line 37 >> 5 words
